stelle,zeichen_code,zeichen_original,position,bedeutung,normen,verwendung_ende
BGH,RiSt,RiSt,hauptzeichen,"Disziplinarsachen und Anträge auf Einleitung oder Einstellung des förmlichen Disziplinarverfahrens, auf vorläufige Dienstenthebung, auf Einbehaltung von Dienstbezügen sowie auf Aufhebung dieser Maßnahmen gegen Richter und Staatsanwälte im Bundesdienst sowie Mitglieder des Bundesrechnungshofes",NA,NA
BGH,RiStB,RiSt(B) ,hauptzeichen,"Beschwerden gegen die Nichtzulassung der Revision und Beschwerden der Richter, Staatsanwälte und Mitglieder des Bundesrechnungshofes gegen Disziplinarverfügungen",NA,NA
BGH,RiStR,RiSt(R) ,hauptzeichen,Revisionen in Disziplinarsachen nach dem Deutschen Richtergesetz,NA,NA
BGH,RiZ,RiZ ,hauptzeichen,Anträge betreffend Richter im Bundesdienst und Mitglieder des Bundesrechnungshofes auf gerichtliche Entscheidung im Versetzungs- und Prüfungsverfahren sowie auf vorläufige Untersagung der Amtsgeschäfte,NA,NA
BGH,RizB,RiZ(B) ,hauptzeichen,Beschwerden gegen die Nichtzulassung der Revision nach dem Deutschen Richtergesetz,NA,NA
BGH,RiZR,RiZ(R) ,hauptzeichen,Revisionen in Versetzungs- und Prüfungsverfahren nach dem Deutschen Richtergesetz,NA,NA
BGH,StB,StB ,hauptzeichen,Beschwerden (Strafsachen),NA,NA
GBA,StE,StE,hauptzeichen,"Strafsachen vor den Oberlandesgerichten, in denen der Generalbundesanwalt beim Bundesgerichtshof Anklage erhoben hat",NA,NA
BGH,StbStB,StbSt(B) ,hauptzeichen,Beschwerden gegen die Nichtzulassung der Revision und Beschwerden in berufsgerichtlichen Verfahren (Steuerberater- und Steuerbevollmächtigtensachen),NA,NA
BGH,StbStR,StbSt(R) ,hauptzeichen,Revisionen in berufsgerichtlichen Verfahren (Steuerberater- und Steuerbevollmächtigtensachen),NA,NA
GBA,StbStB,StbSt(B) ,hauptzeichen,Beschwerden gegen die Nichtzulassung der Revision und Beschwerden in berufsgerichtlichen Verfahren (Steuerberater- und Steuerbevollmächtigtensachen),NA,NA
